transactionId,basket,customerType,totalAmount,returnLabel
7934161612,[3],existing,77.0,0
5308629088,"[5, 3, 0, 3]",existing,64.0,0
1951363325,"[3, 3, 1, 4]",new,308.0,1
6713597713,[2],existing,74.0,0
8352683669,"[4, 4, 4, 4]",new,324.0,1
7416526871,"[4, 3, 4, 4]",new,256.0,1
5297184153,"[3, 4]",existing,110.0,1
5634650486,"[4, 4, 1, 4, 4]",new,100.0,1
5788331730,"[1, 5, 2, 2]",existing,240.0,0
7800645047,"[5, 5, 0]",existing,138.0,0
7422701937,[4],existing,39.0,1
5436335467,[1],existing,13.0,0
5949685032,"[4, 5, 1, 4, 2]",existing,335.0,0
3347641302,"[0, 5, 2, 2, 3]",existing,255.0,0
7227793863,"[0, 1, 2, 3, 2]",existing,275.0,0
8905453838,"[1, 4, 2, 5, 2, 1, 5]",existing,280.0,0
6605231453,"[1, 0, 4]",existing,,0
6891098174,"[0, 4]",existing,78.0,0
8137493163,"[5, 5, 0, 0, 2, 4]",existing,522.0,0
9163548945,"[3, 3, 2, 1, 1]",existing,480.0,0
5538653144,"[4, 3, 3, 3, 3, 3, 4, 4]",existing,1072.0,1
8744718013,"[4, 3, 3]",new,243.0,1
9549263570,[0],existing,45.0,0
2797710510,"[0, 5, 4, 4, 1, 5]",existing,228.0,0
5519225993,"[1, 4, 3, 3, 4, 3, 4, 2, 4, 2]",existing,580.0,1
3893602893,"[4, 3, 4]",existing,294.0,1
7235679864,"[4, 3, 2, 0, 2, 0, 5, 0, 3, 0, 4, 3]",existing,120.0,0
5468342594,"[2, 5, 0, 2, 5, 5, 5]",existing,455.0,0
6205220268,"[3, 2, 0, 3]",existing,272.0,0
3435034281,"[1, 4, 3, 3]",existing,104.0,1
7615616719,"[3, 1]",existing,162.0,0
7618454724,"[5, 5, 2, 0]",existing,220.0,0
5425435239,"[1, 3, 2, 5, 0]",existing,165.0,0
9787509981,"[4, 1, 0, 2, 5, 1, 2]",existing,406.0,0
3685038368,"[3, 1, 4, 3, 0, 4, 2]",new,245.0,1
5294732131,"[3, 0, 0, 3, 2, 2, 4]",new,644.0,1
6339248786,"[0, 0, 1]",existing,258.0,0
2521177591,"[3, 2, 3, 0, 3, 0, 3, 4]",existing,248.0,0
4807209765,"[5, 4, 4]",existing,159.0,0
3904378131,"[2, 2, 3, 3, 2, 1, 3, 3]",existing,632.0,0
9480161868,"[5, 2, 5, 3]",existing,40.0,0
4281037232,"[3, 3, 5]",existing,93.0,0
8414645587,"[0, 4, 4, 3]",new,108.0,1
6310576906,"[3, 1]",new,122.0,1
1671861217,"[3, 1, 5, 0, 0]",existing,,0
6495682319,"[4, 4, 3]",existing,111.0,1
5881442966,"[5, 5, 1, 0, 1, 3, 4, 5, 0, 2]",existing,,0
7557484495,[4],existing,79.0,0
9405302259,"[4, 4, 4, 2, 4, 4]",new,420.0,1
3352178016,"[4, 4, 4]",existing,60.0,1
5569522052,"[4, 3, 2, 5, 3, 0]",existing,66.0,0
2180345004,"[0, 5, 0, 4, 3, 0, 4, 5, 0, 2, 2, 4]",existing,120.0,0
8417475721,"[4, 3, 4, 0, 2, 0, 2, 0, 3]",existing,504.0,0
3610811757,"[3, 4, 1, 4, 1, 4]",new,204.0,1
5291963582,"[5, 0, 5, 4]",existing,376.0,0
8549213893,"[4, 4, 4]",existing,48.0,1
3062627608,"[2, 0, 3, 0, 2, 2, 4, 5, 2, 4]",existing,260.0,0
4839235433,[0],existing,99.0,0
5496746398,"[4, 2, 3, 5, 4, 1, 4, 5, 0]",existing,666.0,0
6780962471,"[0, 0]",existing,70.0,0
7810477132,"[2, 2, 2, 3, 1]",existing,85.0,0
3781348627,"[0, 0, 5, 0, 3, 2]",existing,504.0,0
7783097292,"[5, 2, 2, 3, 1, 2]",existing,60.0,0
7977063072,"[2, 4]",existing,166.0,0
4209271496,"[4, 4, 5, 2, 4]",existing,295.0,0
5108997157,"[3, 3, 4, 0, 4]",new,350.0,1
1052497161,[3],existing,24.0,1
1286476897,"[5, 2, 5]",existing,246.0,0
2754524474,"[1, 1, 3, 3]",new,152.0,1
4397975412,[3],existing,85.0,1
2521943828,"[4, 4, 0, 1, 3, 4, 2, 2, 4, 0, 4, 3]",existing,684.0,1
4247718007,[0],existing,13.0,0
8811323851,"[3, 3, 4, 4, 3, 4]",new,306.0,1
9286160295,"[5, 1, 4, 2, 3, 5]",existing,138.0,0
6876377976,"[4, 3, 4, 0, 3, 3]",existing,486.0,1
7172399603,"[3, 2]",new,224.0,1
7381951412,[3],existing,32.0,0
3181392378,[1],existing,28.0,0
6288001450,"[2, 3, 4, 3, 4]",existing,375.0,1
5130179342,"[3, 2, 4, 4, 4, 5]",existing,276.0,0
7420993513,"[4, 0, 3, 4, 4, 0, 4, 1]",existing,584.0,1
4380483083,"[5, 2, 2]",existing,30.0,0
9055908514,"[4, 1, 2, 1, 4, 1]",existing,372.0,1
3688972863,"[2, 4, 3, 1, 1, 1, 4, 3]",existing,800.0,1
1365121344,[5],existing,47.0,0
6069733768,"[4, 5, 5, 2, 2]",existing,135.0,0
4963643643,"[5, 4, 4, 4, 5]",existing,185.0,0
5420706267,"[1, 0, 4, 1, 3]",existing,370.0,0
8091938205,"[2, 3, 1, 2, 4, 1]",existing,60.0,0
7506779908,"[0, 5, 0]",existing,270.0,0
5167519464,"[3, 3, 1, 4, 2]",existing,275.0,0
1812333982,"[1, 0, 5, 0]",existing,236.0,0
9417365047,"[4, 4, 3]",existing,255.0,0
5646106141,"[3, 5, 3, 2, 3, 4, 0, 0, 2]",existing,657.0,0
3070517519,"[3, 3, 2, 5, 3, 1, 2, 1]",existing,568.0,0
9081988338,"[4, 4, 4, 4, 3, 4]",new,528.0,1
9197933089,"[0, 0, 4, 4]",existing,100.0,0
1919835751,"[0, 1]",existing,250.0,0
9835885488,"[3, 4, 2, 3, 4, 3]",new,456.0,1
3380003137,"[1, 0, 4, 3, 3, 0, 3, 0, 3]",new,504.0,1
2911959861,"[4, 1, 3]",existing,288.0,1
7348031435,"[2, 0, 3, 3, 0, 1, 4]",existing,329.0,0
6959888483,[4],new,37.0,1
9210270732,[0],existing,48.0,0
2185410309,"[1, 3, 0]",existing,114.0,0
4477954188,"[5, 5, 3, 2, 5, 5]",existing,540.0,0
4622471564,"[2, 1, 1, 5, 4, 4]",existing,606.0,0
8274421437,"[3, 4, 4, 3, 3, 3, 3]",new,448.0,1
8891707413,"[0, 4, 4, 3, 4, 0, 1]",existing,413.0,0
1439861601,"[1, 4, 4, 1]",existing,264.0,0
8503965132,"[2, 3, 4, 1, 0]",existing,130.0,0
5097780247,"[4, 4, 4, 1, 4, 3, 4]",existing,308.0,0
2441495094,"[3, 5, 3, 2, 0]",existing,135.0,0
1582830683,[2],existing,74.0,0
4521636329,"[4, 3]",existing,174.0,1
7403534788,"[0, 5, 5, 1, 1, 3]",existing,438.0,0
6021151183,"[4, 0, 1, 3, 4, 2, 3, 2, 2, 1, 0]",existing,1089.0,0
4627820308,"[3, 4, 4, 4, 0]",new,380.0,1
3843118913,"[1, 4]",existing,92.0,1
6803230089,"[5, 3, 1, 1]",existing,204.0,0
3209046358,"[4, 4, 3, 4, 3, 4, 1, 3]",new,536.0,1
9470638929,"[0, 0, 0, 4, 5]",existing,205.0,0
6550041777,"[0, 0, 5, 3, 4, 4, 1, 5]",existing,536.0,0
7975759777,[2],,71.0,0
9848427839,"[5, 0, 0, 3, 2, 4]",existing,438.0,0
4267832270,"[5, 0, 5, 1]",existing,164.0,0
9083034041,"[4, 3, 0, 3, 3, 3]",new,510.0,1
1274842733,"[0, 3, 4, 5, 2, 0, 2, 0, 3, 3, 0, 2]",existing,708.0,0
8709768715,[1],existing,31.0,0
9030874434,"[0, 0, 4]",existing,174.0,0
3822555057,"[2, 4, 4, 0, 1, 4, 0]",existing,385.0,0
2740632058,"[0, 3, 3, 3, 3, 1, 2, 4]",existing,208.0,0
1144063308,"[5, 0, 3, 4]",existing,212.0,0
9674190287,"[1, 2, 0, 2, 1, 3, 4]",existing,406.0,0
6200509389,"[1, 2, 2, 0, 3]",existing,290.0,0
8857446233,"[1, 2, 1, 4]",existing,124.0,0
8005674182,[4],existing,11.0,1
